station,date,kind,peak_hour_local,fired,trigger_local,trigger_temp,observed_ext_at_trigger,observed_ext_time_local,settled_ext,settled_local,delta_F,abs_delta,trigger_pick,actual_winner,bracket_match,trigger_pick_subtitle,actual_winner_subtitle,settled_bracket_subtitle,trigger_utc,settled_utc,pick_idx,winner_idx,bracket_distance
KORD,2026-01-26,high,13,True,17:51,6.0,8.0,14:51,10.0,23:51,2.0,2.0,no_kalshi_event,,,,,,2026-01-26T23:51:00+00:00,2026-01-27T05:51:00+00:00,,,
KORD,2026-01-27,high,13,False,,,14.0,05:51,14.0,05:51,,,,,,,,,,2026-01-27T11:51:00+00:00,,,
KORD,2026-01-28,high,13,True,16:51,15.0,17.0,14:51,17.0,14:51,0.0,0.0,no_kalshi_event,,,,,,2026-01-28T22:51:00+00:00,2026-01-28T20:51:00+00:00,,,
KORD,2026-01-29,high,13,True,16:51,13.0,17.0,14:51,17.0,14:51,0.0,0.0,no_kalshi_event,,,,,,2026-01-29T22:51:00+00:00,2026-01-29T20:51:00+00:00,,,
KORD,2026-01-30,high,13,True,18:02,16.0,18.0,14:33,18.0,14:33,0.0,0.0,no_kalshi_event,,,,,,2026-01-31T00:02:00+00:00,2026-01-30T20:33:00+00:00,,,
KORD,2026-01-31,high,13,True,17:51,21.0,25.0,13:42,25.0,13:42,0.0,0.0,KXHIGHCHI-26JAN31-B24.5,KXHIGHCHI-26JAN31-B26.5,False,24° to 25°,26° to 27°,24° to 25°,2026-01-31T23:51:00+00:00,2026-01-31T19:42:00+00:00,2,3,1
KORD,2026-02-01,high,13,True,17:51,25.0,28.0,15:51,28.0,15:51,0.0,0.0,KXHIGHCHI-26FEB01-B27.5,KXHIGHCHI-26FEB01-B27.5,True,27° to 28°,27° to 28°,27° to 28°,2026-02-01T23:51:00+00:00,2026-02-01T21:51:00+00:00,3,3,0
KORD,2026-02-02,high,13,True,18:51,25.0,27.0,12:25,27.0,12:25,0.0,0.0,KXHIGHCHI-26FEB02-B27.5,KXHIGHCHI-26FEB02-B27.5,True,27° to 28°,27° to 28°,27° to 28°,2026-02-03T00:51:00+00:00,2026-02-02T18:25:00+00:00,1,1,0
KORD,2026-02-03,high,13,True,15:51,27.0,29.0,13:29,29.0,13:29,0.0,0.0,KXHIGHCHI-26FEB03-B29.5,KXHIGHCHI-26FEB03-B29.5,True,29° to 30°,29° to 30°,29° to 30°,2026-02-03T21:51:00+00:00,2026-02-03T19:29:00+00:00,4,4,0
KORD,2026-02-04,high,13,True,17:51,25.0,27.0,14:51,27.0,14:51,0.0,0.0,KXHIGHCHI-26FEB04-B27.5,KXHIGHCHI-26FEB04-B27.5,True,27° to 28°,27° to 28°,27° to 28°,2026-02-04T23:51:00+00:00,2026-02-04T20:51:00+00:00,2,2,0
